8000,,0,/instruction,0,,5000
14000,,,/sound,0,1,3000
18313,0,3,/oddball,0,1,100
19712,0,3,/oddball,0,1,100
21087,0,1,/oddball,0,1,100
22625,0,0,/oddball,0,1,100
24267,0,3,/oddball,0,1,100
25850,0,0,/oddball,0,1,100
27496,0,1,/oddball,0,1,100
29046,0,4,/oddball,0,1,100
30472,0,3,/oddball,0,1,100
32100,0,0,/oddball,0,1,100
33731,0,2,/oddball,0,1,100
35300,0,2,/oddball,0,1,100
36903,0,0,/oddball,0,1,100
38333,0,2,/oddball,0,1,100
39889,0,1,/oddball,0,1,100
41336,0,0,/oddball,0,1,100
42895,0,1,/oddball,0,1,100
44347,0,4,/oddball,0,1,100
45739,0,4,/oddball,0,1,100
47254,0,4,/oddball,0,1,100
48877,0,1,/oddball,0,1,100
50338,0,1,/oddball,0,1,100
51726,0,2,/oddball,0,1,100
53152,0,4,/oddball,0,1,100
54735,0,4,/oddball,0,1,100
56204,0,3,/oddball,0,1,100
57588,0,3,/oddball,0,1,100
59230,0,0,/oddball,0,1,100
60715,0,2,/oddball,0,1,100
62130,0,2,/oddball,0,1,100
63632,0,0,/oddball,0,1,100
65055,0,4,/oddball,0,1,100
66516,0,1,/oddball,0,1,100
67903,0,0,/oddball,0,1,100
69258,0,3,/oddball,0,1,100
70800,0,3,/oddball,0,1,100
72397,0,2,/oddball,0,1,100
73899,0,4,/oddball,0,1,100
75435,0,1,/oddball,0,1,100
76948,0,2,/oddball,0,1,100
82048,,0,/instruction,0,,5000
88048,,,/sound,0,2,3000
92300,0,3,/oddball,0,2,100
93701,0,4,/oddball,0,2,100
95150,0,2,/oddball,0,2,100
96728,0,0,/oddball,0,2,100
98174,0,2,/oddball,0,2,100
99572,0,0,/oddball,0,2,100
101075,0,1,/oddball,0,2,100
102529,0,4,/oddball,0,2,100
104178,0,2,/oddball,0,2,100
105678,0,0,/oddball,0,2,100
107183,0,3,/oddball,0,2,100
108662,0,1,/oddball,0,2,100
110213,0,0,/oddball,0,2,100
111585,0,3,/oddball,0,2,100
112952,0,4,/oddball,0,2,100
114390,0,4,/oddball,0,2,100
115972,0,3,/oddball,0,2,100
117337,0,4,/oddball,0,2,100
118715,0,0,/oddball,0,2,100
120122,0,2,/oddball,0,2,100
121741,0,1,/oddball,0,2,100
123273,0,0,/oddball,0,2,100
124828,0,4,/oddball,0,2,100
126235,0,3,/oddball,0,2,100
127777,0,2,/oddball,0,2,100
129393,0,2,/oddball,0,2,100
131023,0,3,/oddball,0,2,100
132470,0,3,/oddball,0,2,100
133878,0,1,/oddball,0,2,100
135287,0,4,/oddball,0,2,100
136757,0,0,/oddball,0,2,100
138308,0,3,/oddball,0,2,100
139689,0,1,/oddball,0,2,100
141187,0,1,/oddball,0,2,100
142547,0,2,/oddball,0,2,100
144175,0,2,/oddball,0,2,100
145591,0,0,/oddball,0,2,100
147023,0,4,/oddball,0,2,100
148616,0,1,/oddball,0,2,100
150096,0,1,/oddball,0,2,100
155196,,0,/instruction,0,,5000
161196,,,/sound,0,0,3000
165561,0,0,/oddball,0,0,100
167204,0,3,/oddball,0,0,100
168580,0,3,/oddball,0,0,100
170046,0,2,/oddball,0,0,100
171463,0,1,/oddball,0,0,100
172978,0,4,/oddball,0,0,100
174340,0,1,/oddball,0,0,100
175774,0,2,/oddball,0,0,100
177316,0,3,/oddball,0,0,100
178861,0,0,/oddball,0,0,100
180312,0,4,/oddball,0,0,100
181921,0,3,/oddball,0,0,100
183468,0,0,/oddball,0,0,100
184996,0,4,/oddball,0,0,100
186471,0,4,/oddball,0,0,100
187971,0,1,/oddball,0,0,100
189355,0,2,/oddball,0,0,100
190942,0,3,/oddball,0,0,100
192453,0,3,/oddball,0,0,100
194031,0,2,/oddball,0,0,100
195488,0,2,/oddball,0,0,100
196891,0,0,/oddball,0,0,100
198462,0,3,/oddball,0,0,100
200108,0,1,/oddball,0,0,100
201516,0,1,/oddball,0,0,100
203146,0,2,/oddball,0,0,100
204661,0,4,/oddball,0,0,100
206065,0,0,/oddball,0,0,100
207447,0,2,/oddball,0,0,100
208822,0,1,/oddball,0,0,100
210235,0,0,/oddball,0,0,100
211760,0,4,/oddball,0,0,100
213166,0,2,/oddball,0,0,100
214587,0,0,/oddball,0,0,100
216232,0,4,/oddball,0,0,100
217605,0,3,/oddball,0,0,100
219239,0,0,/oddball,0,0,100
220617,0,1,/oddball,0,0,100
222084,0,1,/oddball,0,0,100
